""
Year,Red Planet Exploration,Astrobiology Research,Stellar Observations,Deep Space Missions
2000,15,30,25,30
2001,20,25,30,25
2002,25,20,35,20
2003,30,20,25,25
2004,20,30,20,30
2005,25,25,25,25
2006,30,25,20,25
2007,20,30,30,20
2008,25,25,20,30
2009,20,30,25,25
2010,30,25,25,20
2011,25,30,20,25
2012,20,25,30,25
2013,25,20,25,30
2014,30,20,30,20
2015,20,25,25,30
2016,25,30,25,20
2017,30,25,20,25
2018,25,20,30,25
2019,20,30,25,25
2020,25,25,30,20
2021,30,20,25,25
2022,20,30,25,25
2023,25,25,30,20
2024,30,20,25,25
""
