""
Topic,History,Research,Discovery,Preservation
Ancient Egypt,15,30,35,20
Medieval Europe,20,25,30,25
Renaissance,25,20,35,20
Industrial Revolution,30,25,20,25
Modern Era,20,30,25,25
Ancient Greece,25,25,30,20
Roman Empire,30,20,25,25
Byzantine Empire,20,25,30,25
Ottoman Empire,25,30,20,25
Mesoamerica,30,20,25,25
Indus Valley,25,25,30,20
China Dynasties,20,30,25,25
Ancient India,25,20,35,20
Mughal Empire,30,25,20,25
Japanese History,20,30,25,25
Native Americans,25,25,30,20
African Kingdoms,30,20,25,25
Pacific Cultures,20,25,30,25
Viking Age,25,30,20,25
Prehistoric Times,30,20,25,25
""
