""
topics,categories,Category A,Category B,Category C,Category D
Subject 1,Education & Learning,20,30,25,25
Subject 2,Education & Learning,15,35,30,20
Subject 3,Education & Learning,25,25,20,30
Subject 4,Education & Learning,30,20,30,20
Subject 5,Education & Learning,20,25,35,20
Subject 6,Education & Learning,25,20,25,30
Subject 7,Education & Learning,20,30,20,30
Subject 8,Education & Learning,30,25,25,20
Subject 9,Education & Learning,25,30,20,25
Subject 10,Education & Learning,20,35,25,20
Subject 11,Education & Learning,25,20,30,25
Subject 12,Education & Learning,30,25,20,25
""
