""
Category,Subcategory1,Subcategory2,Subcategory3
Philosophy,25,45,30
Ethics,35,40,25
Culture,40,35,25
Society,50,30,20
Health,30,50,20
Psychology,40,30,30
Environment,20,30,50
Climate Change,30,25,45
Travel,35,40,25
Adventure,45,25,30
History,30,35,35
Archaeology,25,45,30
Economics,40,30,30
Finance,45,25,30
Food,30,50,20
Nutrition,20,30,50
Sports,35,30,35
Fitness,25,40,35
Business,45,30,25
Entrepreneurship,50,25,25
Literature,30,35,35
Writing,25,40,35
Music,40,30,30
Performing Arts,30,50,20
Astronomy,45,25,30
Space Exploration,20,30,50
Politics,35,30,35
Governance,50,25,25
Entertainment,25,35,40
Leisure,30,40,30
Education,45,30,25
Learning,35,30,35
Fashion,25,35,40
Beauty,20,30,50
Science,30,50,20
Nature,40,30,30
Future Technologies,45,25,30
Society Impact,30,35,35
Art,50,25,25
Design,35,30,35
""
