""
categories,subcategories,values1,values2,values3
Astronomy & Space Exploration,Exoplanets,10,25,65
Astronomy & Space Exploration,Asteroids,15,20,65
Astronomy & Space Exploration,Black Holes,20,30,50
Astronomy & Space Exploration,Galaxies,10,35,55
Astronomy & Space Exploration,Stars,25,25,50
Philosophy & Ethics,Morality,30,20,50
Philosophy & Ethics,Existentialism,20,40,40
Philosophy & Ethics,Logic,25,35,40
Philosophy & Ethics,Epistemology,15,45,40
Philosophy & Ethics,Ethics,35,25,40
Culture & Society,Globalization,20,30,50
Culture & Society,Traditions,25,35,40
Culture & Society,Languages,30,25,45
Culture & Society,Religion,15,20,65
Culture & Society,Media,20,35,45
""
