""
Date, Visitors
2024-01-01, 100
2024-01-02, 120
2024-01-03, 110
2024-01-04, 130
2024-01-05, 140
2024-01-06, 150
2024-01-07, 160
2024-01-08, 170
2024-01-09, 180
2024-01-10, 190
2024-01-11, 200
2024-01-12, 210
2024-01-13, 220
2024-01-14, 230
2024-01-15, 240
2024-01-16, 250
2024-01-17, 260
2024-01-18, 270
2024-01-19, 280
2024-01-20, 290
2024-01-21, 300
2024-01-22, 310
2024-01-23, 320
2024-01-24, 330
2024-01-25, 340
2024-01-26, 350
2024-01-27, 360
2024-01-28, 370
2024-01-29, 380
2024-01-30, 390
2024-01-31, 400
""
