Day of Week, Time of Day, Foot Traffic (people/hour)
Monday, Morning, 250
Monday, Afternoon, 150
Monday, Evening, 200
Tuesday, Morning, 300
Tuesday, Afternoon, 120
Tuesday, Evening, 180
Wednesday, Morning, 310
Wednesday, Afternoon, 160
Wednesday, Evening, 210
Thursday, Morning, 320
Thursday, Afternoon, 150
Thursday, Evening, 220
Friday, Morning, 400
Friday, Afternoon, 180
Friday, Evening, 300
Saturday, Morning, 350
Saturday, Afternoon, 200
Saturday, Evening, 250
Sunday, Morning, 200
Sunday, Afternoon, 150
Sunday, Evening, 180
