""
Date,Steps
2023-05-01,5000
2023-05-02,7000
2023-05-03,8000
2023-05-04,6500
2023-05-05,9000
2023-05-06,7200
2023-05-07,8500
2023-05-08,7800
2023-05-09,9500
2023-05-10,6800
2023-05-11,8800
2023-05-12,9300
2023-05-13,8200
2023-05-14,7800
2023-05-15,7000
2023-05-16,8900
2023-05-17,9500
2023-05-18,9900
2023-05-19,8700
2023-05-20,6500
2023-05-21,9300
2023-05-22,8100
2023-05-23,7700
2023-05-24,9000
2023-05-25,7500
2023-05-26,9400
2023-05-27,8800
2023-05-28,8100
2023-05-29,7900
2023-05-30,8300
2023-05-31,9200
""
