""
day,value
1,100
2,98
3,97
4,95
5,94
6,93
7,91
8,90
9,88
10,87
11,85
12,84
13,82
14,81
15,79
16,78
17,76
18,75
19,73
20,72
21,71
22,70
23,69
24,68
25,67
26,66
27,65
28,64
29,63
30,62
31,61
32,60
33,59
34,58
35,57
36,56
37,55
38,54
39,53
40,52
41,51
42,50
43,49
44,48
45,47
46,46
47,45
48,44
49,43
50,42
51,41
52,40
53,39
54,38
55,37
56,36
57,35
58,34
59,33
60,32
61,31
62,30
63,29
64,28
65,27
66,26
67,25
68,24
69,23
70,22
71,21
72,20
73,19
74,18
75,17
76,16
77,15
78,14
79,13
80,12
81,11
82,10
83,9
84,8
85,7
86,6
87,5
88,4
89,3
90,2
91,1
92,0
""
