""
Date,Views
2023-05-01,5000
2023-05-02,4800
2023-05-03,4500
2023-05-04,4700
2023-05-05,4300
2023-05-06,4100
2023-05-07,4200
2023-05-08,3900
2023-05-09,3800
2023-05-10,3600
2023-05-11,3500
2023-05-12,3300
2023-05-13,3100
2023-05-14,3000
2023-05-15,3200
2023-05-16,3400
2023-05-17,3600
2023-05-18,3800
2023-05-19,3500
2023-05-20,3400
2023-05-21,3300
2023-05-22,3100
2023-05-23,2900
2023-05-24,2700
2023-05-25,2600
2023-05-26,2500
2023-05-27,2300
2023-05-28,2200
2023-05-29,2000
2023-05-30,1900
2023-05-31,1800
""
