""
Date,Steps
2024-01-01,5000
2024-01-02,5200
2024-01-03,4800
2024-01-04,5300
2024-01-05,5500
2024-01-06,5100
2024-01-07,5700
2024-01-08,5900
2024-01-09,5600
2024-01-10,6000
2024-01-11,6200
2024-01-12,6300
2024-01-13,6500
2024-01-14,6700
2024-01-15,7000
2024-01-16,7100
2024-01-17,7200
2024-01-18,6900
2024-01-19,7400
2024-01-20,7600
2024-01-21,7800
2024-01-22,7900
2024-01-23,8000
2024-01-24,8200
2024-01-25,8400
2024-01-26,8500
2024-01-27,8700
2024-01-28,8900
2024-01-29,9000
2024-01-30,9100
2024-01-31,9300
""
