""
Date,Fruits,Vegetables,Dairy
Jan-2021,5000,7000,3000
Feb-2021,6000,7500,3200
Mar-2021,6500,8000,3500
Apr-2021,7000,8500,4000
May-2021,7500,9000,4200
Jun-2021,8000,9500,4500
Jul-2021,8500,10000,4800
Aug-2021,9000,10500,5000
Sep-2021,9500,11000,5200
Oct-2021,10000,11500,5500
Nov-2021,10500,12000,5800
Dec-2021,11000,12500,6000
Jan-2022,11500,13000,6200
Feb-2022,12000,13500,6500
Mar-2022,12500,14000,6800
Apr-2022,13000,14500,7000
May-2022,13500,15000,7300
Jun-2022,14000,15500,7500
Jul-2022,14500,16000,7800
Aug-2022,15000,16500,8000
Sep-2022,15500,17000,8300
Oct-2022,16000,17500,8500
Nov-2022,16500,18000,8800
Dec-2022,17000,18500,9000
""
