""
Month,Destination A,Destination B,Destination C
Jan 2021,15000,13000,12000
Feb 2021,16000,14000,12500
Mar 2021,15500,14500,13000
Apr 2021,16500,15000,13500
May 2021,17500,16000,14000
Jun 2021,18500,17000,14500
Jul 2021,19500,18000,15000
Aug 2021,20500,18500,15500
Sep 2021,21000,19000,16000
Oct 2021,22000,20000,16500
Nov 2021,23000,21000,17000
Dec 2021,24000,22000,17500
Jan 2022,25000,23000,18000
Feb 2022,26000,24000,18500
Mar 2022,27000,25000,19000
Apr 2022,28000,26000,19500
May 2022,29000,27000,20000
Jun 2022,30000,28000,20500
Jul 2022,31000,29000,21000
Aug 2022,32000,30000,21500
Sep 2022,33000,31000,22000
Oct 2022,34000,32000,22500
Nov 2022,35000,33000,23000
Dec 2022,36000,34000,23500
""
