""
Month,North_America,Europe,Asia_Pacific
Jan-2021,120,95,70
Feb-2021,135,105,80
Mar-2021,145,115,95
Apr-2021,155,125,100
May-2021,165,135,110
Jun-2021,175,145,120
Jul-2021,185,155,130
Aug-2021,195,165,140
Sep-2021,205,175,150
Oct-2021,215,185,160
Nov-2021,225,195,170
Dec-2021,235,205,180
Jan-2022,245,215,190
Feb-2022,255,225,200
Mar-2022,265,235,210
Apr-2022,275,245,220
May-2022,285,255,230
Jun-2022,295,265,240
Jul-2022,305,275,250
Aug-2022,315,285,260
Sep-2022,325,295,270
Oct-2022,335,305,280
Nov-2022,345,315,290
Dec-2022,355,325,300
""
