""
Months,USA,Europe,Asia-Pacific
Jan-2021,110,100,90
Feb-2021,130,115,95
Mar-2021,150,130,105
Apr-2021,170,140,115
May-2021,190,155,125
Jun-2021,210,170,135
Jul-2021,230,185,145
Aug-2021,250,200,155
Sep-2021,270,210,165
Oct-2021,290,225,175
Nov-2021,310,240,185
Dec-2021,330,255,195
Jan-2022,350,265,205
Feb-2022,370,280,215
Mar-2022,390,295,225
Apr-2022,410,310,235
May-2022,430,320,245
Jun-2022,450,335,255
Jul-2022,470,350,265
Aug-2022,490,365,275
Sep-2022,510,375,285
Oct-2022,530,390,295
Nov-2022,550,405,305
Dec-2022,570,420,315
""
