""
Month, Online Courses, Hands-On Workshops, Self-Study
Jan-2021, 30, 45, 25
Feb-2021, 35, 50, 30
Mar-2021, 40, 55, 35
Apr-2021, 50, 60, 40
May-2021, 55, 65, 45
Jun-2021, 60, 70, 50
Jul-2021, 65, 75, 55
Aug-2021, 70, 80, 60
Sep-2021, 75, 85, 65
Oct-2021, 80, 90, 70
Nov-2021, 85, 95, 75
Dec-2021, 90, 100, 80
Jan-2022, 95, 105, 85
Feb-2022, 100, 110, 90
Mar-2022, 105, 115, 95
Apr-2022, 110, 120, 100
May-2022, 115, 125, 105
Jun-2022, 120, 130, 110
Jul-2022, 125, 135, 115
Aug-2022, 130, 140, 120
Sep-2022, 135, 145, 125
Oct-2022, 140, 150, 130
Nov-2022, 145, 155, 135
Dec-2022, 150, 160, 140
""
