""
Date,Clothing,Footwear,Accessories
Jan-2021,4500,3000,2000
Feb-2021,4700,3100,2100
Mar-2021,4900,3200,2200
Apr-2021,5100,3300,2300
May-2021,5300,3400,2400
Jun-2021,5500,3500,2500
Jul-2021,5700,3600,2600
Aug-2021,5900,3700,2700
Sep-2021,6100,3800,2800
Oct-2021,6300,3900,2900
Nov-2021,6500,4000,3000
Dec-2021,6700,4100,3100
Jan-2022,6900,4200,3200
Feb-2022,7100,4300,3300
Mar-2022,7300,4400,3400
Apr-2022,7500,4500,3500
May-2022,7700,4600,3600
Jun-2022,7900,4700,3700
Jul-2022,8100,4800,3800
Aug-2022,8300,4900,3900
Sep-2022,8500,5000,4000
Oct-2022,8700,5100,4100
Nov-2022,8900,5200,4200
Dec-2022,9100,5300,4300
""
