""
Month,Transport,Energy,Industry
Jan-2021,80,150,200
Feb-2021,85,160,210
Mar-2021,90,170,220
Apr-2021,95,180,230
May-2021,100,190,240
Jun-2021,105,200,250
Jul-2021,110,210,260
Aug-2021,115,220,270
Sep-2021,120,230,280
Oct-2021,125,240,290
Nov-2021,130,250,300
Dec-2021,135,260,310
Jan-2022,140,270,320
Feb-2022,145,280,330
Mar-2022,150,290,340
Apr-2022,155,300,350
May-2022,160,310,360
Jun-2022,165,320,370
Jul-2022,170,330,380
Aug-2022,175,340,390
Sep-2022,180,350,400
Oct-2022,185,360,410
Nov-2022,190,370,420
Dec-2022,195,380,430
""
