""
Month,Calories,Beverages,Proteins
Jan-2021,2100,300,150
Feb-2021,2150,320,160
Mar-2021,2250,340,170
Apr-2021,2350,360,180
May-2021,2450,380,190
Jun-2021,2550,400,200
Jul-2021,2650,420,210
Aug-2021,2750,440,220
Sep-2021,2850,460,230
Oct-2021,2950,480,240
Nov-2021,3050,500,250
Dec-2021,3150,520,260
Jan-2022,3250,540,270
Feb-2022,3350,560,280
Mar-2022,3450,580,290
Apr-2022,3550,600,300
May-2022,3650,620,310
Jun-2022,3750,640,320
Jul-2022,3850,660,330
Aug-2022,3950,680,340
Sep-2022,4050,700,350
Oct-2022,4150,720,360
Nov-2022,4250,740,370
Dec-2022,4350,760,380
""
