""
Category,Subcategory,Value
Art & Design,Digital Art,150
Art & Design,Traditional Art,120
Art & Design,Sculpture,90
Science & Nature,Astronomy,180
Science & Nature,Biology,140
Science & Nature,Chemistry,110
Health & Psychology,Mental Health,160
Health & Psychology,Physical Health,130
Health & Psychology,Nutrition,100
Culture & Society,History,170
Culture & Society,Philosophy,150
Culture & Society,Religion,130
Economics & Finance,Market Analysis,190
Economics & Finance,Investment,160
Economics & Finance,Econometrics,130
""
