""
Category,Design,Illustration,Photography
Art & Design,120,180,230
Science & Nature,90,120,150
Health & Psychology,160,140,200
Culture & Society,130,170,210
Economics & Finance,100,110,160
Education & Learning,150,130,190
Entertainment & Leisure,140,160,220
Environment & Climate Change,110,90,140
Food & Nutrition,170,180,210
Travel & Adventure,130,140,200
Fashion & Beauty,160,150,210
Politics & Governance,100,120,140
Sports & Fitness,190,170,230
History & Archaeology,140,130,190
Philosophy & Ethics,150,160,200
Music & Performing Arts,110,100,130
Literature & Writing,120,110,150
Business & Entrepreneurship,130,140,180
Astronomy & Space Exploration,140,130,170
""
