""
Category,Value1,Value2,Value3
Art,40,30,20
Design,50,40,30
Painting,70,50,40
Sculpture,60,45,35
Photography,55,40,25
Fashion,65,50,45
Graphics,75,60,50
Animation,80,70,60
Film,85,75,65
Music,90,80,70
Dance,95,85,75
Drama,100,90,80
Literature,110,100,90
Philosophy,115,105,95
Ethics,120,110,100
History,130,120,110
Archaeology,125,115,105
Politics,135,125,115
Governance,140,130,120
Economics,145,135,125
Finance,150,140,130
Education,155,145,135
Learning,160,150,140
Health,165,155,145
Psychology,170,160,150
Fitness,175,165,155
Sports,180,170,160
""
