""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,200
Art & Design,Photography,150
Art & Design,Digital Art,180
Science & Nature,Astronomy,100
Science & Nature,Biology,180
Science & Nature,Chemistry,160
Science & Nature,Physics,190
Health & Psychology,Mental Health,130
Health & Psychology,Fitness,210
Health & Psychology,Nutrition,170
Health & Psychology,Wellness,160
Culture & Society,History,110
Culture & Society,Ethics,140
Culture & Society,Sociology,180
Culture & Society,Anthropology,160
""
