""
Category,2019,2020,2021
Art & Design,120,132,101
Science & Nature,150,182,191
Health & Psychology,160,170,220
Culture & Society,200,232,210
Economics & Finance,210,200,240
Education & Learning,180,172,199
Entertainment & Leisure,230,210,230
Environment & Climate Change,110,132,101
Food & Nutrition,140,152,170
Travel & Adventure,190,212,230
Fashion & Beauty,170,142,150
Politics & Governance,220,202,240
Sports & Fitness,130,122,150
History & Archaeology,160,132,180
Philosophy & Ethics,150,162,170
Music & Performing Arts,180,192,200
Literature & Writing,140,152,170
Business & Entrepreneurship,200,222,250
Astronomy & Space Exploration,170,182,210
""
