""
Category,Type A,Type B,Type C,Type D
Art & Design,120,132,101,134
Science & Nature,220,182,191,234
Health & Psychology,150,232,201,154
Culture & Society,320,332,301,334
Economics & Finance,820,932,901,934
Education & Learning,620,732,701,734
Entertainment & Leisure,520,632,601,634
Environment & Climate Change,420,532,501,534
Food & Nutrition,320,432,401,434
Travel & Adventure,220,332,301,334
Fashion & Beauty,120,232,201,234
Politics & Governance,320,332,301,334
Sports & Fitness,420,432,401,434
History & Archaeology,520,532,501,534
Philosophy & Ethics,620,632,601,634
Music & Performing Arts,720,732,701,734
Literature & Writing,820,832,801,834
Business & Entrepreneurship,920,932,901,934
Astronomy & Space Exploration,1020,1032,1001,1034
""
