""
Category,Value1,Value2,Value3,Value4
Art,15,23,20,28
Design,22,18,25,30
Science,17,28,23,20
Nature,25,20,30,35
Health,30,27,22,24
Psychology,18,25,28,22
Culture,23,26,20,25
Society,20,30,25,28
Economics,27,22,30,20
Finance,25,28,20,23
Education,24,27,26,29
Learning,26,30,28,22
Entertainment,20,25,30,27
Leisure,28,20,23,25
Environment,22,28,27,24
Climate,30,25,20,28
Food,20,23,27,25
Nutrition,25,28,22,30
Travel,28,27,25,22
Adventure,20,22,28,25
Fashion,23,25,20,27
Beauty,27,30,28,24
Politics,25,22,20,28
Governance,30,27,23,25
Sports,20,25,30,22
Fitness,28,20,27,25
History,22,28,24,23
Archaeology,25,30,20,27
Philosophy,23,25,22,30
Ethics,27,28,24,20
Music,20,23,30,25
Performing Arts,28,27,22,20
Literature,24,28,25,22
Writing,22,30,27,24
Business,25,20,23,27
Entrepreneurship,27,25,28,20
Astronomy,20,23,30,25
Space Exploration,22,28,27,20
""
