""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,90
Art & Design,Photography,150
Art & Design,Illustration,110
Art & Design,Graphic Design,80
Art & Design,Ceramics,100
Art & Design,Textiles,70
Art & Design,Glass Art,60
Science & Nature,Biology,130
Science & Nature,Chemistry,110
Science & Nature,Physics,140
Science & Nature,Astronomy,120
Science & Nature,Geology,90
Science & Nature,Environmental Science,100
Science & Nature,Oceanography,85
Science & Nature,Meteorology,95
Health & Psychology,Mental Health,150
Health & Psychology,Physical Health,130
Health & Psychology,Neurology,140
Health & Psychology,Cardiology,120
Health & Psychology,Dermatology,110
Health & Psychology,Pediatrics,100
Health & Psychology,Oncology,90
Health & Psychology,Immunology,80
""
