""
Category,Subcategory,Value
Art & Design,Painting,120
Art & Design,Sculpture,110
Art & Design,Photography,140
Art & Design,Illustration,130
Science & Nature,Astronomy,180
Science & Nature,Biology,170
Science & Nature,Chemistry,160
Science & Nature,Physics,150
Health & Psychology,Mental Health,200
Health & Psychology,Physical Health,190
Health & Psychology,Nutrition,210
Health & Psychology,Wellness,220
Culture & Society,Traditions,230
Culture & Society,Languages,240
Culture & Society,Customs,250
Culture & Society,Norms,260
""
