""
Category,2018,2019,2020,2021,2022
Art & Design,320,340,350,370,400
Science & Nature,500,520,540,580,620
Health & Psychology,430,450,470,510,550
Culture & Society,290,310,330,360,390
Economics & Finance,610,630,650,690,730
Education & Learning,480,500,520,560,600
Entertainment & Leisure,380,400,420,450,480
Environment & Climate Change,450,470,490,530,570
Food & Nutrition,330,350,370,400,440
Travel & Adventure,410,430,450,490,530
Fashion & Beauty,360,380,400,430,470
Politics & Governance,570,590,610,650,700
Sports & Fitness,520,540,560,600,650
History & Archaeology,300,320,340,370,410
Philosophy & Ethics,340,360,380,410,450
Music & Performing Arts,390,410,430,460,500
Literature & Writing,310,330,350,380,420
Business & Entrepreneurship,600,620,640,680,720
Astronomy & Space Exploration,550,570,590,630,670
""
