""
Category, Q1, Q2, Q3, Q4
Art & Design, 120, 132, 101, 134
Science & Nature, 220, 182, 191, 234
Health & Psychology, 150, 232, 201, 154
Culture & Society, 98, 77, 101, 99
Economics & Finance, 60, 85, 90, 81
Education & Learning, 100, 132, 141, 120
Entertainment & Leisure, 180, 220, 210, 230
Environment & Climate Change, 190, 210, 230, 240
Food & Nutrition, 240, 250, 260, 270
Travel & Adventure, 220, 240, 210, 230
Fashion & Beauty, 130, 142, 131, 124
Politics & Governance, 180, 192, 201, 210
Sports & Fitness, 300, 320, 310, 330
History & Archaeology, 210, 230, 220, 240
Philosophy & Ethics, 110, 132, 101, 104
Music & Performing Arts, 140, 150, 160, 170
Literature & Writing, 130, 142, 151, 134
Business & Entrepreneurship, 220, 232, 221, 240
Astronomy & Space Exploration, 170, 182, 191, 204
""
