""
Category,Subcategory,Value
Art & Design,Painting,100
Art & Design,Sculpture,80
Art & Design,Architecture,90
Science & Nature,Biology,120
Science & Nature,Physics,150
Science & Nature,Chemistry,130
Health & Psychology,Mental Health,95
Health & Psychology,Physical Health,110
Health & Psychology,Nutrition,105
Economics & Finance,Stock Market,160
Economics & Finance,Investment,140
Economics & Finance,Economics,155
Education & Learning,Primary,100
Education & Learning,Secondary,110
Education & Learning,Higher,130
""
