""
Country,Technology,Usage (Hours per Week)
USA,Smartphones,20
USA,Laptops,18
USA,Tablets,12
USA,Smartwatches,10
USA,Desktop Computers,15
Canada,Smartphones,18
Canada,Laptops,17
Canada,Tablets,11
Canada,Smartwatches,9
Canada,Desktop Computers,14
UK,Smartphones,19
UK,Laptops,16
UK,Tablets,10
UK,Smartwatches,8
UK,Desktop Computers,13
Germany,Smartphones,17
Germany,Laptops,15
Germany,Tablets,9
Germany,Smartwatches,7
Germany,Desktop Computers,12
France,Smartphones,16
France,Laptops,14
France,Tablets,8
France,Smartwatches,6
France,Desktop Computers,11
""
