""
City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
New York,-1,0,5,11,17,22,25,24,20,14,8,2
Los Angeles,14,15,16,17,18,20,22,22,21,19,16,14
Tokyo,5,6,9,14,19,22,25,27,23,18,12,8
London,4,4,7,9,13,16,18,18,15,11,7,5
Paris,3,4,8,10,15,18,20,20,16,11,7,4
Beijing,-4,0,5,14,20,24,26,24,20,13,5,-2
Sydney,22,22,21,19,16,14,13,15,17,19,20,22
Cape Town,20,20,19,17,15,13,13,14,15,17,18,19
Mumbai,25,25,27,29,30,29,29,28,28,29,27,26
Mexico City,15,16,19,20,22,19,18,18,18,17,16,15
Rio de Janeiro,30,31,29,27,24,22,21,22,23,25,27,29
Cairo,18,19,21,25,29,32,33,32,30,26,22,19
""
