""
City,AverageTouristVisits,NumberOfAttractions,PopulationSize
New York,12,150,8419000
Los Angeles,10,130,3980000
Chicago,8,120,2706000
Houston,6,90,2323000
Phoenix,5,70,1680000
Philadelphia,7,110,1584000
San Antonio,6,85,1532000
Dallas,6,95,1343000
San Diego,7,100,1429000
San Jose,5,65,1035000
Austin,4,60,995000
Jacksonville,4,50,911500
Fort Worth,3,55,918000
Columbus,3,40,906000
Charlotte,4,60,880000
San Francisco,9,120,883000
Indianapolis,3,45,876000
Seattle,8,110,753000
Denver,6,80,727000
Washington D.C.,11,140,705000
Boston,7,105,692000
El Paso,2,30,688000
Nashville,5,85,692000
Detroit,3,50,677000
Oklahoma City,2,35,649000
Portland,5,75,654000
Las Vegas,10,120,651000
Memphis,3,55,651000
Louisville,2,40,620000
Baltimore,4,65,621000
Milwaukee,3,50,595000
Albuquerque,2,30,561000
Tucson,2,25,542000
Fresno,2,35,531000
Sacramento,3,45,513000
""
