""
Category,Research_Expenditure,Impact_Score,Participants,Study_Influence
Mental Health,25000,180,5000,85
Cardiology,32000,220,8000,90
Neurology,27000,200,6000,88
Oncology,35000,250,7000,92
Pediatrics,22000,150,4000,80
Orthopedics,20000,140,3000,78
Endocrinology,28000,190,4500,87
Gastroenterology,24000,160,5000,84
Psychiatry,30000,210,6000,89
Dermatology,26000,170,3500,81
Immunology,33000,230,7000,91
Radiology,29000,200,5500,86
Nephrology,31000,210,6000,88
Hematology,27000,195,4000,83
Rheumatology,23000,160,3000,82
""
