""
Country,Speed (m/s),Strength (kg),Endurance (minutes),Population
USA,9.58,250,120,331002651
China,9.85,230,140,1439323776
Japan,9.95,220,150,126476461
Germany,9.89,240,130,83783942
India,10.2,210,180,1380004385
UK,9.77,245,125,67886011
France,9.82,235,140,65273511
Italy,9.96,220,135,60461826
Brazil,9.81,225,150,212559417
Canada,9.87,230,160,37742154
Russia,10.1,215,170,145912025
South Korea,9.9,225,140,51269185
Australia,9.84,240,155,25499884
Spain,9.88,220,145,46754778
Mexico,10.0,210,175,128932753
""
