""
Country,Year,Population,Life Expectancy,GDP per Capita
China,2023,1427647786,77.3,10510.21
India,2023,1393409038,69.5,2256.39
United States,2023,331002651,79.5,63179.48
Indonesia,2023,273523615,71.2,4349.12
Brazil,2023,212559417,75.9,8920.53
Pakistan,2023,225199937,67.5,1556.7
Nigeria,2023,206139589,54.3,2366.1
Bangladesh,2023,169575884,73.5,1879.36
Russia,2023,145912025,72.6,10279.29
Mexico,2023,128932753,76.2,9780.12
Japan,2023,125836021,84.5,40258.47
Ethiopia,2023,114963588,66.2,925.32
Philippines,2023,109581078,70.2,3641.42
Egypt,2023,104258327,71.7,3312.56
Vietnam,2023,97338579,76.3,3054.22
South Korea,2023,51780579,83.3,32085.48
Turkey,2023,85157650,75.4,8916.52
France,2023,65426179,82.5,40258.69
United Kingdom,2023,67886011,81.3,42302.94
Italy,2023,60367477,83.4,35546.22
Spain,2023,47351567,83.1,29514.19
""
