""
Country,GDP,InternetUsers,Population
USA,21427700,312000000,331000000
China,14140163,854000000,1439323776
Japan,5081770,118000000,126476461
Germany,3845630,79900000,83783942
India,2875142,687000000,1380004385
UK,2825208,62700000,67886011
France,2715518,58700000,65273511
Italy,2005004,54300000,60461826
Brazil,1839758,149000000,212559417
Canada,1647000,37000000,37742154
Russia,1575267,117000000,145934462
South Korea,1655608,51000000,51269185
Australia,1388272,22000000,25499884
Spain,1328549,42000000,46754778
Mexico,1228908,85000000,128932753
""
