""
Company,MarketShare,SalesVolume,Region
FreshFarms,20.1,200.5,Americas
GreenOrchard,17.3,170.3,Europe
TropicalTaste,15.2,150.1,Asia
FruitDelight,13.8,135.6,Americas
HealthyHarvest,11.5,115.7,Europe
SunshineFruits,8.4,85.4,Asia
NatureBounty,6.7,67.2,Americas
BerryGood,5.3,52.5,Europe
OrganicOasis,3.9,39.1,Asia
FreshStart,2.8,28.4,Americas
PureFruits,2.0,20.5,Europe
SweetHarvest,1.5,15.6,Asia
GoldenFruits,1.1,11.2,Americas
TastyOrchard,0.9,9.5,Europe
HealthyChoice,0.6,6.7,Asia
VitalFruits,0.4,4.8,Americas
GreenHarvest,0.2,2.3,Europe
NaturalFarms,0.1,1.5,Asia
""
