""
Country,Population,MentalHealthIndex,HealthcareSpending,PopulationDensity
China,1400,60,6.4,150
India,1366,45,3.1,420
United States,331,80,16.9,36
Indonesia,273,55,3.0,151
Pakistan,220,40,2.8,286
Brazil,213,65,9.5,25
Nigeria,206,30,3.5,226
Bangladesh,166,50,2.4,1265
Russia,145,70,5.6,9
Mexico,128,58,6.3,66
Japan,126,85,10.2,347
Ethiopia,115,35,1.9,115
Philippines,109,50,4.0,368
Egypt,102,42,3.0,102
Vietnam,97,60,6.0,311
DR Congo,89,25,1.2,40
Turkey,84,65,6.1,110
Iran,83,60,6.5,52
Germany,83,75,11.3,232
Thailand,70,70,4.8,137
""
