""
Artwork,Year,Price,Viewers,Exhibition_Popularity
Starry Night,1889,1000000,2500000,95
Mona Lisa,1503,780000000,6000000,99
The Persistence of Memory,1931,5500000,1200000,85
Girl with a Pearl Earring,1665,30000000,500000,75
The Scream,1893,120000000,2300000,90
The Last Supper,1498,450000000,3500000,97
Guernica,1937,200000000,1800000,88
American Gothic,1930,7000000,600000,70
The Birth of Venus,1486,200000000,2000000,92
Whistler's Mother,1871,4500000,450000,65
Night Watch,1642,200000000,4000000,96
The Kiss,1908,180000000,1700000,87
The Arnolfini Portrait,1434,140000000,1100000,80
A Sunday Afternoon on the Island of La Grande Jatte,1886,10000000,900000,78
The School of Athens,1511,150000000,2500000,93
The Garden of Earthly Delights,1515,300000000,3200000,98
Liberty Leading the People,1830,200000000,2100000,91
The Swing,1767,8500000,850000,76
Oath of the Horatii,1784,175000000,1500000,82
The Hay Wain,1821,10000000,1000000,77
""
