""
Item,Weight,Price,Popularity,Color
Running Shoes,0.8,120,88,#FF5733
Fitness Tracker,0.05,150,92,#33FF57
Yoga Mat,1.2,30,85,#3357FF
Dumbbells,5.0,60,75,#FF33A6
Protein Powder,1.0,50,80,#A633FF
Treadmill,60.0,1200,70,#FFC300
Bicycle,15.0,600,78,#DAF7A6
Jump Rope,0.1,10,90,#900C3F
Resistance Bands,0.2,25,82,#C70039
Kettlebells,4.5,80,73,#581845
Pull-up Bar,3.0,40,68,#28B463
Foam Roller,0.5,20,65,#1F618D
Exercise Ball,2.0,35,77,#7D3C98
Rowing Machine,25.0,900,83,#D98880
Boxing Gloves,0.7,45,79,#D4AC0D
""
