""
Category,Subcategory,ImpactScore,EffortHours
Climate Change,Carbon Emissions,85,12
Climate Change,Global Warming,88,14
Biodiversity,Species Conservation,90,10
Biodiversity,Ecosystem Restoration,87,11
Energy,Solar Power,92,13
Energy,Wind Power,89,15
Water Management,Water Purification,84,12
Water Management,Desalination,91,13
Pollution Control,Air Quality,86,14
Pollution Control,Soil Remediation,88,10
Sustainable Agriculture,Organic Farming,90,11
Sustainable Agriculture,Urban Gardening,87,12
Waste Management,Recycling,93,14
Waste Management,Composting,89,10
Forest Conservation,Reforestation,91,12
Forest Conservation,Deforestation,92,13
""
