""
Activity,Sleep Duration (hrs),Happiness Score,Popularity,Color
Running,7.5,85,90,#1f77b4
Yoga,6.5,90,80,#ff7f0e
Cycling,7,88,70,#2ca02c
Swimming,6,75,60,#d62728
Hiking,8,80,85,#9467bd
Weightlifting,5,65,50,#8c564b
Dancing,6.5,78,75,#e377c2
Boxing,5.5,68,55,#7f7f7f
Pilates,6,82,65,#bcbd22
Meditation,8,95,40,#17becf
Walking,7,87,60,#e7969c
Tennis,6.5,70,45,#aec7e8
Basketball,7,72,50,#ffbb78
Soccer,7.5,75,60,#98df8a
Reading,8,93,55,#ff6699
Gaming,5,55,35,#3399ff
Cooking,7,83,65,#cc33ff
Gardening,7.5,85,70,#66cc33
""
