""
Category,SubCategory,AverageRating,WeeklySessions
Physical Health,Fitness,85,10
Physical Health,Nutrition,90,8
Mental Health,Stress Management,88,12
Mental Health,Meditation,95,6
Emotional Health,Self-Care,80,7
Emotional Health,Relationships,82,9
Cognitive Health,Memory,89,11
Cognitive Health,Learning,92,10
Social Health,Community,87,5
Social Health,Volunteering,91,4
Spiritual Health,Mindfulness,93,6
Spiritual Health,Gratitude,88,8
Occupational Health,Work-Life Balance,84,10
Occupational Health,Career Development,86,7
Environmental Health,Sustainability,90,8
Environmental Health,Outdoor Activities,85,9
""
