""
Country,GDP,Population,LifeExpectancy,Region
United States,21433226,328200000,78.9,North America
China,14342903,1393000000,76.7,Asia
Japan,5081770,126500000,84.6,Asia
Germany,3845630,83100000,81.0,Europe
India,2875142,1353000000,69.7,Asia
United Kingdom,2827114,66650000,81.2,Europe
France,2715518,67060000,82.5,Europe
Brazil,1839767,209500000,75.9,South America
Italy,2001241,60500000,83.4,Europe
Canada,1736426,37590000,81.9,North America
Russia,1709824,145900000,72.7,Europe/Asia
South Korea,1642381,51270000,83.0,Asia
Spain,1419042,46940000,83.4,Europe
Australia,1392687,25460000,83.3,Oceania
Mexico,1220695,127600000,75.1,North America
Indonesia,1119190,267700000,71.5,Asia
Netherlands,907050,17180000,81.9,Europe
Saudi Arabia,793689,34270000,75.1,Asia
Turkey,754041,83430000,75.8,Asia/Europe
Switzerland,703082,8585000,83.7,Europe
""
