""
Country,GDP_Trillions,Population_Millions,Internet_Penetration,Total_Enrollment
USA,21.43,331,89,21000
China,14.34,1441,61,17000
Japan,5.08,126,92,11000
Germany,3.84,83,88,2200
India,2.87,1380,43,8200
UK,2.83,68,96,12500
France,2.72,67,88,32000
Italy,2.00,60,87,15000
Brazil,1.84,212,70,26000
Canada,1.74,38,91,21000
Russia,1.63,146,80,16000
South_Korea,1.63,52,95,6600
Australia,1.39,25,88,10000
Spain,1.39,47,91,13000
Mexico,1.27,128,64,7800
Indonesia,1.12,273,53,12300
Netherlands,0.91,17,95,15000
Saudi_Arabia,0.79,35,96,24000
Turkey,0.75,84,75,44000
Switzerland,0.71,9,94,27000
""
