""
Country,GDP_Billion,Innovation_Index,Sports_Investment,Population_Millions,Research_Expenditure_Per_Capita,Technology_Ratio
United States,21430,85,75,331,1500,20.00
China,14340,75,68,1441,1000,14.29
Japan,5080,80,70,126,1200,17.14
Germany,3860,83,73,83,1400,15.56
India,2870,65,60,1380,500,8.33
United Kingdom,2830,82,72,68,1300,14.77
France,2720,78,70,65,1250,15.24
Brazil,1840,60,55,213,400,7.27
Canada,1730,79,68,38,1350,19.85
Russia,1700,68,60,146,800,13.33
Australia,1390,81,75,25,1450,19.33
South Korea,1630,84,80,52,1300,16.25
Italy,2000,77,70,60,1100,15.71
Mexico,1220,59,50,129,350,7.00
Spain,1390,76,68,47,1150,16.91
""
