""
Country,Healthcare_Expenditure_Per_Capita,Life_Expectancy,Healthcare_Percentage_of_GDP,Population_Millions
United States,10223,78.8,16.9,331
Canada,4974,82.3,10.7,38
Germany,5986,81.0,11.7,83
United Kingdom,4070,81.2,10.0,68
France,4968,82.5,11.2,65
Japan,4751,84.6,10.9,126
Australia,5195,83.4,9.3,25
China,527,76.7,5.4,1441
India,74,69.4,3.5,1380
Brazil,947,75.7,9.2,213
Russia,1410,72.6,5.3,146
South Korea,2829,83.3,8.1,52
Italy,3656,83.2,8.8,60
Mexico,1041,75.0,5.4,129
Spain,3100,83.4,9.0,47
""
