""
Country,Book_Published,Library_Count,Population_Millions,Books_Per_Capita
United States,300000,100000,331,0.906
China,220000,60000,1441,0.153
Japan,150000,15000,126,1.190
Germany,80000,5000,83,0.964
India,200000,70000,1380,0.145
United Kingdom,70000,25000,68,1.029
France,60000,22000,65,0.923
Brazil,50000,18000,213,0.235
Canada,40000,24000,38,1.053
Russia,70000,15000,146,0.479
Australia,30000,15000,25,1.200
South Korea,35000,10000,52,0.673
Italy,30000,12000,60,0.500
Mexico,45000,18000,129,0.349
Spain,40000,14000,47,0.851
""
