""
Country,GDP_Billion,Innovation_Index,Technology_Adoption,Population_Millions,Research_Expenditure_Per_Capita,Technology_Ratio
United States,21430,85,80,331,1500,15.7
China,14340,75,70,1441,1000,12.5
Japan,5080,80,85,126,1200,14.2
Germany,3860,83,90,83,1400,15.0
India,2870,65,60,1380,500,8.6
United Kingdom,2830,82,88,68,1300,14.8
France,2720,78,82,65,1250,14.0
Brazil,1840,60,55,213,400,7.8
Canada,1730,79,84,38,1350,14.5
Russia,1700,68,63,146,800,10.2
Australia,1390,81,85,25,1450,15.3
South Korea,1630,84,87,52,1300,14.8
Italy,2000,77,80,60,1100,13.1
Mexico,1220,59,58,129,350,7.4
Spain,1390,76,78,47,1150,13.6
""
