""
City,AverageSunshineHours,AverageTemperature,PopulationSize
New York,6,10,8419000
Los Angeles,8,18,3980000
Chicago,5,10,2706000
Houston,6,20,2323000
Phoenix,9,23,1680000
Philadelphia,6,12,1584000
San Antonio,8,21,1532000
Dallas,7,18,1343000
San Diego,7,18,1429000
San Jose,7,16,1035000
Austin,7,20,995000
Jacksonville,7,20,911500
Fort Worth,7,19,918000
Columbus,4,11,906000
Charlotte,7,16,880000
San Francisco,6,14,883000
Indianapolis,5,12,876000
Seattle,4,11,753000
Denver,7,10,727000
Washington D.C.,6,15,705000
Boston,5,11,692000
El Paso,8,19,688000
Nashville,6,15,692000
Detroit,4,9,677000
Oklahoma City,6,15,649000
Portland,4,12,654000
Las Vegas,9,21,651000
Memphis,6,16,651000
Louisville,5,14,620000
Baltimore,5,12,621000
Milwaukee,4,10,595000
Albuquerque,8,16,561000
Tucson,8,19,542000
Fresno,8,19,531000
Sacramento,7,18,513000
""
