""
Country,Year,GDP Growth Rate,Unemployment Rate,Inflation Rate,Population
China,2021,8.1,5.0,2.3,1444216107
India,2021,9.2,7.0,5.5,1393409038
United States,2021,5.7,4.2,6.2,331893745
Indonesia,2021,3.7,6.5,1.6,276361783
Brazil,2021,4.6,13.2,10.0,213993437
Pakistan,2021,5.6,8.5,9.7,225199937
Nigeria,2021,3.4,32.5,15.7,211400708
Bangladesh,2021,6.9,5.3,5.6,166303498
Russia,2021,4.8,5.5,8.4,145912025
Mexico,2021,4.8,3.8,7.4,130262216
Japan,2021,2.3,2.8,0.9,125836021
Ethiopia,2021,6.3,19.6,21.1,120812698
Philippines,2021,5.6,6.9,3.9,111046913
Egypt,2021,3.3,7.4,4.5,104258327
Vietnam,2021,2.6,2.7,2.0,98168829
""
