""
Country,Year,Population,Life Expectancy,GDP per Capita
China,2015,1376048943,76.25,8069.21
India,2015,1311050527,68.3,1606.02
United States,2015,321773631,79.1,55805.2
Indonesia,2015,258705000,69.1,3336.29
Brazil,2015,207847528,75.0,8538.08
Pakistan,2015,188924874,66.4,1275.29
Nigeria,2015,181562056,53.1,2885.13
Bangladesh,2015,160995642,71.8,1211.73
Russia,2015,146544710,70.5,9329.29
Mexico,2015,121736809,76.7,9005.18
Japan,2015,127298000,83.7,34567.78
Ethiopia,2015,99465819,64.8,632.91
Philippines,2015,100699395,68.5,2950.95
Egypt,2015,91779522,71.3,3308.66
Vietnam,2015,91713800,75.4,2102.67
Germany,2015,82000000,81.0,45000.0
South Korea,2015,51000000,82.0,36500.0
France,2015,67000000,82.5,40000.0
""
