""
Product,Annual Sales,Advertising Costs,Customer Satisfaction
Health Product A,150000,18000,9.5
Health Product B,110000,16000,8.0
Health Product C,115000,14500,8.5
Health Product D,125000,17500,9.0
Health Product E,130000,17000,9.2
Health Product F,95000,12500,7.0
Health Product G,105000,14000,7.5
Health Product H,145000,18500,9.4
Health Product I,120000,15000,8.8
Health Product J,135000,16000,9.0
Health Product K,142000,19000,9.3
Health Product L,128000,16500,8.9
Health Product M,134000,17500,9.1
""
