""
Country,Year,Population,Economy_Score
Afghanistan,2000,20040000,300
Afghanistan,2005,25000000,350
Afghanistan,2010,29120000,400
Afghanistan,2015,32527000,420
Afghanistan,2020,38928000,410
Brazil,2000,174800000,2000
Brazil,2005,186110000,2600
Brazil,2008,190010000,3000
Brazil,2012,194500000,3200
Brazil,2020,211050000,3300
China,2000,1262645000,1200
China,2005,1303720000,2400
China,2010,1338300000,4000
China,2015,1371220000,8000
China,2020,1439324000,10000
France,2000,59278000,2900
France,2005,60980000,3400
France,2010,62844000,3600
France,2015,64338000,3800
France,2020,65273000,3900
India,2000,1006300000,450
India,2005,1107800000,790
India,2010,1234280000,1350
India,2015,1310152000,1600
India,2020,1380004000,1900
USA,2000,282160000,5200
USA,2005,295515000,7900
USA,2010,309321000,8500
USA,2015,321368000,18000
USA,2020,331002000,21000
""
