""
Country,Category,NumberOfParticipants,AverageScore
USA,MentalHealth,150000,75
USA,PhysicalHealth,160000,80
China,MentalHealth,130000,85
China,PhysicalHealth,140000,88
India,MentalHealth,145000,78
India,PhysicalHealth,135000,82
Germany,MentalHealth,90000,83
Germany,PhysicalHealth,95000,79
Brazil,MentalHealth,100000,76
Brazil,PhysicalHealth,105000,81
France,MentalHealth,110000,77
France,PhysicalHealth,115000,84
Japan,MentalHealth,120000,86
Japan,PhysicalHealth,125000,89
Australia,MentalHealth,105000,82
Australia,PhysicalHealth,110000,85
""
