""
Destination,TravelGuide,Visitors,Cost,Rating
Paris,Rick Steves,1000,1200,4.9
Tokyo,Paul Theroux,850,1500,4.8
New York,Anthony Bourdain,900,1300,4.7
Rome,Fodors,750,1100,4.8
Sydney,Bill Bryson,650,1400,4.6
London,Travel Channel,800,1250,4.7
Bangkok,Lonely Planet,700,1000,4.5
Dubai,National Geographic,600,2000,4.8
Rio de Janeiro,Rough Guides,500,900,4.7
Istanbul,Frommer's,550,1100,4.6
Cape Town,Insight Guides,480,900,4.8
Barcelona,DK Eyewitness,620,1150,4.7
Moscow,Bradt Travel Guides,530,1200,4.5
Cairo,Footprint,400,800,4.6
Beijing,Time Out,460,900,4.5
""
