""
Country,Participation Rate (%),Average Weekly Exercise Hours,Population (Millions),Mental Health Index
United States,60,5,331,70
China,45,4,1438,65
Japan,75,6.5,126,80
Germany,65,6,83,75
India,30,3.5,1367,55
United Kingdom,62,5.5,66,72
France,68,6,65,77
Brazil,50,4.5,213,60
Italy,55,5,60,68
Canada,72,7,38,85
Russia,40,3.5,145,62
South Korea,75,6.5,51,80
Spain,67,6,47,75
Australia,78,7.5,25,88
Mexico,35,4,128,58
Indonesia,28,3,273,50
Netherlands,69,6.5,17,76
Saudi Arabia,25,2.5,34,45
Turkey,33,3.5,84,52
Switzerland,80,7.5,8,90
""
