""
Category,Books,Authors,Publishers,Market_Value
Fiction,320,150,25,400
Non-Fiction,280,120,20,350
Mystery,150,60,10,250
Science Fiction,200,90,15,300
Fantasy,180,75,12,270
Biography,100,50,8,220
History,160,65,9,240
Poetry,90,40,5,200
Children's Books,140,55,7,230
Romance,110,50,10,210
Comics,170,60,12,260
Self-Help,130,45,9,220
Cookbooks,120,50,6,210
Travel,80,35,4,190
Education,200,70,8,250
Health & Fitness,140,50,6,220
Art,90,40,5,200
Business,180,65,10,270
Technology,160,60,9,250
Philosophy,70,30,4,180
""
