""
Country,Year,Revenue,Budget
USA,2000,1000,500
USA,2005,1500,800
USA,2010,2000,1200
USA,2015,2500,1500
USA,2020,3000,1800
China,2000,800,400
China,2005,1100,600
China,2010,1600,900
China,2015,2100,1300
China,2020,2600,1700
India,2000,500,200
India,2005,700,350
India,2010,1000,500
India,2015,1300,700
India,2020,1700,1000
Brazil,2000,600,300
Brazil,2005,850,450
Brazil,2010,1100,600
Brazil,2015,1400,800
Brazil,2020,1800,1100
France,2000,700,350
France,2005,950,500
France,2010,1300,700
France,2015,1600,900
France,2020,2000,1200
Germany,2000,900,450
Germany,2005,1200,700
Germany,2010,1600,900
Germany,2015,2000,1200
Germany,2020,2400,1500
""
