""
Country,ArtIndex,CreativeEconomy,Population,LifeExpectancy
USA,85,1500,331002651,78.5
China,78,1300,1439323776,76.4
Japan,90,1100,126476461,84.6
Germany,88,1150,83783942,81.3
India,65,900,1380004385,69.7
UK,82,1200,67886011,81.2
France,87,1100,65273511,82.7
Italy,86,1000,60461826,83.4
Brazil,72,850,212559417,75.7
Canada,80,1250,37742154,82.3
Russia,68,950,145912025,72.6
South Korea,89,1050,51269185,82.8
Australia,83,1150,25499884,83.3
Spain,84,1080,46754778,83.6
Mexico,70,850,128932753,75.0
""
