""
Company,Revenue,Employees,Market_Cap
Apple,2745,147000,2250
Microsoft,1430,163000,1980
Amazon,3860,1335000,1630
Google,1825,135301,1520
Facebook,859,58604,870
Tesla,315,70757,710
Alibaba,1094,117600,611
Tencent,736,85858,649
Berkshire Hathaway,2455,360000,622
Visa,217,20500,465
Johnson & Johnson,825,134500,434
Samsung,2000,267937,510
Walmart,5592,2300000,401
Nestle,920,273000,370
Procter & Gamble,701,99000,340
Toyota,2750,359542,290
Nvidia,160,18975,354
Disney,659,223000,350
Nike,374,75400,236
Coca-Cola,373,80000,232
""
