""
Country,Topic,Participants,EngagementScore
USA,Literature,100000,85
USA,Writing,90000,75
China,Literature,150000,90
China,Writing,95000,80
India,Literature,120000,70
India,Writing,110000,65
Germany,Literature,80000,78
Germany,Writing,60000,72
Brazil,Literature,50000,60
Brazil,Writing,55000,68
France,Literature,55000,82
France,Writing,50000,77
UK,Literature,70000,88
UK,Writing,75000,85
Australia,Literature,65000,81
Australia,Writing,62000,74
Japan,Literature,130000,92
Japan,Writing,115000,83
Canada,Literature,90000,80
Canada,Writing,85000,76
""
